English,Persian
the,در
of,از
and,وت
to,به
a,آ
in,که در
for,برای
is,است
on,بر
that,این که
by,توسط
this,این
with,با
i,من
you,شما
it,آی تی
not,نه
or,یا
be,بودن
are,هستند
from,از جانب
at,در
as,مانند
your,شما
all,همه
have,دارند
new,جدید
more,بیشتر
an,در
was,بود
we,ما
will,اراده
home,خانه
can,می توان
us,ما
about,در باره
if,اگر
page,صفحه
my,من
has,داشتن
search,جستجو کردن
free,رایگان
but,ولی
our,ما
one,یکی
other,دیگر
do,انجام دادن
no,هیچ
information,اطلاعات
time,زمان
they,آنها
site,سایت
he,او
up,بالا
may,ممکن است
what,چی
which,کدام
their,آنها
news,اخبار
out,خارج
use,استفاده کنید
any,هیچ
there,آنجا
see,دیدن
only,فقط
so,بنابراین
his,خود
when,چه زمانی
contact,مخاطب
here,اینجا
business,کسب و کار
who,سازمان بهداشت جهانی
web,وب
also,همچنین
now,اکنون
help,کمک
get,گرفتن
pm,نخست وزیر
view,چشم انداز
online,برخط
c,جف
e,اشمیه
first,اولین
am,صبح
been,بوده
would,می خواست
how,چگونه
were,بود
me,من
s,حرف
services,خدمات
some,مقداری
these,اینها
click,کلیک
its,آن را
like,پسندیدن
service,سرویس
x,ایکس
than,نسبت به. تا
find,پیدا کردن
price,قیمت
date,تاریخ
back,بازگشت
top,بالا
people,مردم
had,داشته است
list,لیست
name,نام
just,عادلانه
over,بر فراز
state,حالت
year,سال
day,روز
into,به
email,پست الکترونیک
two,دو
health,سلامتی
n,حرف
world,جهان
re,دوباره
next,بعد
used,استفاده شده
go,رفتن
b,شرح
work,کار
last,آخر
most,اکثر
products,محصولات
music,موسیقی
buy,خرید کردن
data,داده ها
make,ساختن
them,آنها را
should,باید
product,تولید - محصول
system,سیستم
post,پست
her,او
city,شهر
t,حرف
add,اضافه کردن
policy,خط مشی
number,عدد
such,چنین
please,لطفا
available,در دسترس
copyright,کپی رایت
support,حمایت کردن
message,پیام
after,بعد از
best,بهترین
software,نرم افزار
then,سپس
jan,ژان
good,خوب
video,ویدئو
well,خوب
d,د
where,جایی که
info,اطلاعات
rights,حقوق
public,عمومی
books,کتاب
high,عالی
school,مدرسه
through,از طریق
m,مگس
each,هر یک
links,لینک
she,او
review,مرور
years,سال ها
order,سفارش
very,بسیار
privacy,حریم خصوصی
book,کتاب
items,موارد
company,شرکت
r,حرف
read,خواندن
group,گروه
sex,ارتباط جنسی
need,نیاز
many,زیاد
user,کاربر
said,گفته شده
de,حرف
does,میکند
set,تنظیم
under,زیر
general,عمومی
research,پژوهش
university,دانشگاه
january,ژانویه
mail,پست
full,پر شده
map,نقشه
reviews,بررسی
program,برنامه
life,زندگی
know,دانستن
games,بازی ها
way,مسیر
days,روزها
management,مدیریت
p,پ
part,بخش
could,میتوانست
great,عالی
united,متحد
hotel,هتل
real,واقعی
f,ج
item,قسمت
international,بین المللی
center,مرکز
ebay,بی سر و صدا
must,باید
store,فروشگاه
travel,مسافرت رفتن
comments,نظرات
made,ساخته شده
development,توسعه
report,گزارش
off,از روی
member,عضو
details,جزئیات
line,خط
terms,مقررات
before,قبل از
hotels,هتل
did,انجام داد
send,ارسال
right,درست
type,نوع
because,زیرا
local,محلی
those,آنها
using,استفاده كردن
results,نتایج
office,دفتر
education,تحصیلات
national,ملی
car,ماشین
design,طرح
take,گرفتن
posted,ارسال شده
internet,اینترنت
address,نشانی
community,انجمن
within,در داخل
states,ایالت ها
area,حوزه
want,خواستن
phone,تلفن
dvd,دی وی دی
shipping,حمل دریایی
reserved,محفوظ
subject,موضوع
between,بین
forum,انجمن
family,خانواده
l,سعادت
long,طولانی
based,مستقر
w,حرف
code,رمز
show,نشان دادن
o,ای
even,زوج
black,سیاه
check,بررسی
special,ویژه
prices,قیمت
website,سایت اینترنتی
index,فهرست مطالب
being,بودن
women,زنان
much,زیاد
sign,امضا کردن
file,فایل
link,ارتباط دادن
open,باز کن
today,امروز
technology,فن آوری
south,جنوب
case,مورد
project,طرح
same,یکسان
pages,صفحات
uk,انگلستان
version,نسخه
section,بخش
own,خود
found,پیدا کردن
sports,ورزش ها
house,خانه
related,مربوط
security,امنیت
both,هر دو
g,جف
county,شهرستان
american,آمریکایی
photo,عکس
game,بازی
members,اعضا
power,قدرت
while,در حالی که
care,اهميت دادن
network,شبکه
down,پایین
computer,کامپیوتر
systems,سیستم های
three,سه
total,جمع
place,محل
end,پایان
following,ذیل
download,دانلود
h,سخنرانی
him,به او
without,بدون
per,مطابق
access,دسترسی
think,فکر
north,شمال
resources,منابع
current,جاری
posts,نوشته ها
big,بزرگ
media,رسانه ها
law,قانون
control,کنترل
water,اب
history,تاریخ
pictures,تصاویر
size,اندازه
art,هنر
personal,شخصی
since,از آنجا که
including,شامل
guide,راهنما
shop,مغازه
directory,فهرست راهنما
board,تخته
location,محل
change,تغییر دادن
white,سفید
text,متن
small,کم اهمیت
rating,امتیاز
rate,نرخ
government,دولت
children,فرزندان
during,در حین
usa,ایالات متحده آمریکا
return,برگشت
students,دانش آموزان
v,حرفهای
shopping,خريد كردن
account,حساب
times,بار
sites,سایت های
level,مرحله
digital,دیجیتالی
profile,مشخصات
previous,قبلی
form,فرم
events,مناسبت ها
love,عشق
old,قدیمی
john,جان
main,اصلی
call,زنگ زدن
hours,ساعت ها
image,تصویر
department,بخش
title,عنوان
description,شرح
non,غیر
k,k
y,حرف
insurance,بیمه
another,یکی دیگر
why,چرا
shall,باید
property,ویژگی
class,طبقه
cd,سی دی
still,هنوز
money,پول
quality,کیفیت
every,هر
listing,لیست
content,محتوا
country,کشور
private,خصوصی
little,مقدار کمی
visit,بازدید
save,صرفه جویی
tools,ابزار
low,کم
reply,پاسخ
customer,مشتری
december,دسامبر
compare,مقایسه کردن
movies,فیلم ها
include,عبارتند از
college,دانشکده
value,ارزش
article,مقاله
york,یورک
man,مرد
card,کارت
jobs,شغل ها
provide,تصویب کردن
j,j
food,غذا
source,منبع
author,نویسنده
different,ناهمسان
press,مطبوعات
u,تو
learn,فرا گرفتن
sale,فروش
around,دور و بر
print,چاپ
course,دوره
job,کار
canada,کانادا
process,روند
teen,نوه
room,اتاق
stock,موجودی
training,آموزش
too,هم
credit,اعتبار
point,نقطه
join,پیوستن
science,علوم پایه
men,مردان
categories,دسته بندی ها
advanced,پیشرفته
west,غرب
sales,حراجی
look,نگاه
english,انگلیسی
left,ترک کرد
team,تیم
estate,دارایی
box,جعبه
conditions,شرایط
select,انتخاب کنید
windows,پنجره ها
photos,عکس
gay,خوشی
thread,نخ
week,هفته
category,دسته بندی
note,توجه داشته باشید
live,زنده
large,بزرگ
gallery,آلبوم عکس
table,جدول
register,ثبت نام
however,با این حال
june,ژوئن
october,اکتبر
november,ماه نوامبر
market,بازار
library,کتابخانه
really,واقعاً
action,عمل
start,شروع
series,سلسله
model,مدل
features,امکانات
air,هوا
industry,صنعت
plan,طرح
human,انسان
provided,ارائه شده
tv,تلویزیون
yes,آره
required,ضروری
second,دومین
hot,گرم
accessories,تجهیزات جانبی
cost,هزینه
movie,فیلم سینما
forums,انجمن ها
march,مارس
la,لجن
september,سپتامبر
better,بهتر
say,گفتن
questions,پرسش
july,جولای
yahoo,یاهو
going,رفتن
medical,پزشکی
test,تست
friend,دوست
come,بیا
dec,دسامبر
server,سرور
pc,کامپیوتر
study,مطالعه
application,کاربرد
cart,چرخ
staff,کارکنان
articles,مقالات
san,سن
feedback,بازخورد
again,از نو
play,بازی
looking,نگاه
issues,مسائل
april,ماه آوریل
never,هرگز
users,کاربران
complete,کامل
street,خیابان
topic,موضوع
comment,اظهار نظر
financial,مالی
